objects,flights,depth,unique_assets,threaded,changes,views,tick_median_ms,tick_p95_ms,lifecycle_median_ms,lifecycle_p95_ms,collect_seal_median_ms,collect_seal_p95_ms,apply_median_ms,apply_p95_ms,view_median_ms,view_p95_ms,retirement_median_ms,retirement_p95_ms,allocations_7_samples,allocated_bytes_7_samples,gathers_warmup_and_7_samples,matrix_evaluations_warmup_and_7_samples
10000,2,8,true,false,10000,1,0.542100,0.729500,0.000200,0.001100,3.365800,3.512400,0.199200,0.252500,0.055400,0.064200,0.000200,0.000500,0,0,100000,450000
10000,2,8,true,false,10000,3,0.544700,0.741000,0.000300,0.000800,3.410300,3.505700,0.196700,0.212600,0.146200,0.247000,0.000200,0.000500,0,0,100000,450000
10000,2,8,true,true,0,1,0.068700,0.084200,0.000400,0.000400,0.000300,0.000300,0.000400,0.000400,0.041000,0.041200,0.000400,0.000500,0,0,0,0
10000,2,8,true,true,0,3,0.069200,0.072200,0.000100,0.000400,0.000100,0.000300,0.000400,0.000400,0.122900,0.165800,0.000200,0.000500,0,0,0,0
10000,2,8,true,true,1,1,0.069200,0.070800,0.000100,0.000400,0.003000,0.003700,0.000700,0.000700,0.041100,0.060000,0.000200,0.000300,0,0,80,360
10000,2,8,true,true,1,3,0.069300,0.074400,0.000100,0.000400,0.003000,0.003800,0.000400,0.000500,0.123100,0.131600,0.000100,0.000300,0,0,80,360
10000,2,8,true,true,100,1,0.072300,0.088900,0.000100,0.000100,0.033300,0.037800,0.002000,0.002000,0.040700,0.049000,0.000200,0.000200,0,0,1040,4680
10000,2,8,true,true,100,3,0.075800,0.127100,0.000100,0.000100,0.033400,0.064000,0.002000,0.002200,0.125100,0.179700,0.000200,0.000400,0,0,1040,4680
10000,2,8,true,true,10000,1,0.538200,0.658300,0.000600,0.001000,3.352200,3.546100,0.206700,0.313000,0.057600,0.078400,0.000500,0.001200,0,0,100000,450000
10000,2,8,true,true,10000,3,0.569400,0.651800,0.000700,0.001200,3.317700,3.606300,0.187800,0.227200,0.133300,0.161900,0.000500,0.000800,0,0,100000,450000
10000,3,1,false,false,0,1,0.068300,0.086000,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.046000,0.059400,0.000100,0.000100,0,0,0,0
10000,3,1,false,false,0,3,0.068600,0.097400,0.000000,0.000100,0.000100,0.000100,0.000100,0.000100,0.137900,0.197400,0.000100,0.000200,0,0,0,0
10000,3,1,false,false,1,1,0.068500,0.068600,0.000100,0.000100,0.000300,0.000400,0.000100,0.000100,0.046000,0.046000,0.000100,0.000200,0,0,11,11
10000,3,1,false,false,1,3,0.068500,0.081800,0.000100,0.000100,0.000300,0.000400,0.000100,0.000100,0.137800,0.181700,0.000100,0.000200,0,0,11,11
10000,3,1,false,false,100,1,0.069700,0.069800,0.000100,0.000100,0.008200,0.011300,0.001700,0.001700,0.045600,0.113000,0.000100,0.000200,0,0,1100,1100
10000,3,1,false,false,100,3,0.069500,0.166200,0.000100,0.000800,0.008100,0.009600,0.001700,0.002100,0.137300,0.316600,0.000100,0.000600,0,0,1100,1100
10000,3,1,false,false,10000,1,0.215700,0.281600,0.000200,0.000300,0.900400,1.224000,0.196800,0.295900,0.056400,0.130100,0.000100,0.000600,0,0,110000,110000
10000,3,1,false,false,10000,3,0.215500,0.321200,0.000200,0.000900,0.873500,0.970200,0.179000,0.232400,0.174100,0.269600,0.000100,0.000800,0,0,110000,110000
